timeline,日本ビルファンド投資法人
2009-06,$3.95B
2009-07,$4.06B
2009-08,$3.92B
2009-09,$3.83B
2009-10,$3.57B
2009-11,$3.35B
2009-12,$3.37B
2010-01,$3.81B
2010-02,$3.76B
2010-03,$3.83B
2010-04,$3.77B
2010-05,$3.53B
2010-06,$3.36B
2010-07,$3.52B
2010-08,$3.4B
2010-09,$3.49B
2010-10,$3.77B
2010-11,$3.9B
2010-12,$3.98B
2011-01,$4.11B
2011-02,$4.1B
2011-03,$3.87B
2011-04,$3.89B
2011-05,$3.97B
2011-06,$3.76B
2011-07,$3.77B
2011-08,$3.93B
2011-09,$3.82B
2011-10,$3.63B
2011-11,$3.39B
2011-12,$3.01B
2012-01,$3.49B
2012-02,$3.97B
2012-03,$4.01B
2012-04,$3.88B
2012-05,$3.65B
2012-06,$3.93B
2012-07,$4.1B
2012-08,$4.28B
2012-09,$4.55B
2012-10,$4.63B
2012-11,$4.66B
2012-12,$4.83B
2013-01,$5.1B
2013-02,$5.6B
2013-03,$7.03B
2013-04,$7.58B
2013-05,$5.65B
2013-06,$6.2B
2013-07,$6.51B
2013-08,$6.53B
2013-09,$7.44B
2013-10,$7.42B
2013-11,$7.35B
2013-12,$7.47B
2014-01,$7.11B
2014-02,$7.1B
2014-03,$6.71B
2014-04,$7.05B
2014-05,$7.42B
2014-06,$7.37B
2014-07,$7.22B
2014-08,$7.21B
2014-09,$7.18B
2014-10,$7.74B
2014-11,$7.44B
2014-12,$7.52B
2015-01,$7.22B
2015-02,$7.47B
2015-03,$7.34B
2015-04,$7.41B
2015-05,$7.23B
2015-06,$6.67B
2015-07,$6.9B
2015-08,$6.35B
2015-09,$7.21B
2015-10,$7.16B
2015-11,$7.23B
2015-12,$7.18B
2016-01,$7.74B
2016-02,$8.33B
2016-03,$8.3B
2016-04,$8.54B
2016-05,$8.2B
2016-06,$7.88B
2016-07,$7.84B
2016-08,$7.88B
2016-09,$7.98B
2016-10,$7.76B
2016-11,$7.93B
2016-12,$8.05B
2017-01,$8.07B
2017-02,$7.82B
2017-03,$7.58B
2017-04,$7.38B
2017-05,$7.34B
2017-06,$7.15B
2017-07,$7.41B
2017-08,$7.28B
2017-09,$6.98B
2017-10,$6.82B
2017-11,$7.01B
2017-12,$6.86B
2018-01,$7.28B
2018-02,$7.22B
2018-03,$7.32B
2018-04,$7.66B
2018-05,$7.59B
2018-06,$7.95B
2018-07,$7.74B
2018-08,$8.05B
2018-09,$8.18B
2018-10,$8.03B
2018-11,$8.8B
2018-12,$8.6B
2019-01,$8.76B
2019-02,$9.03B
2019-03,$9.34B
2019-04,$8.93B
2019-05,$9.24B
2019-06,$9.19B
2019-07,$9.51B
2019-08,$9.71B
2019-09,$10.33B
2019-10,$10.21B
2019-11,$10.23B
2019-12,$9.9B
2020-01,$10.93B
2020-02,$10.07B
2020-03,$9.01B
2020-04,$8.07B
2020-05,$8.42B
2020-06,$7.64B
2020-07,$7.43B
2020-08,$7.73B
2020-09,$7.5B
2020-10,$6.74B
2020-11,$7.12B
2020-12,$7.31B
2021-01,$7.53B
2021-02,$7.89B
2021-03,$8.12B
2021-04,$10.05B
2021-05,$10.18B
2021-06,$10.23B
2021-07,$10.32B
2021-08,$10.83B
2021-09,$10.91B
2021-10,$10.6B
2021-11,$10.43B
2021-12,$10.32B
