timeline,大日本住友製薬株式会社
2006-03,$4.58B
2006-04,$4.87B
2006-05,$4.31B
2006-06,$4.51B
2006-07,$4.9B
2006-08,$4.89B
2006-09,$4.98B
2006-10,$5.3B
2006-11,$5.04B
2006-12,$4.86B
2007-01,$4.87B
2007-02,$4.6B
2007-03,$4.41B
2007-04,$4.63B
2007-05,$4.46B
2007-06,$4.33B
2007-07,$3.99B
2007-08,$3.85B
2007-09,$3.74B
2007-10,$3.75B
2007-11,$3.16B
2007-12,$2.87B
2008-01,$3.1B
2008-02,$3.07B
2008-03,$3.19B
2008-04,$2.78B
2008-05,$3.14B
2008-06,$3.01B
2008-07,$3.16B
2008-08,$3.4B
2008-09,$3.01B
2008-10,$2.69B
2008-11,$2.83B
2008-12,$2.92B
2009-01,$2.84B
2009-02,$2.87B
2009-04,$2.75B
2009-05,$2.72B
2009-06,$2.96B
2009-07,$3.08B
2009-08,$3.68B
2009-09,$3.43B
2009-10,$3.33B
2009-11,$3.11B
2009-12,$3.42B
2010-01,$3.37B
2010-02,$3.05B
2010-03,$3.0B
2010-04,$2.74B
2010-05,$2.48B
2010-06,$2.39B
2010-07,$2.26B
2010-08,$2.44B
2010-09,$2.45B
2010-10,$2.54B
2010-12,$2.59B
2011-01,$2.58B
2011-02,$2.78B
2011-03,$2.72B
2011-04,$2.71B
2011-05,$2.68B
2011-06,$2.67B
2011-07,$2.74B
2011-08,$2.72B
2011-09,$3.0B
2011-10,$3.03B
2011-11,$2.76B
2011-12,$3.07B
2012-01,$3.08B
2012-02,$2.95B
2012-03,$3.07B
2012-04,$2.81B
2012-05,$2.63B
2012-06,$2.84B
2012-07,$3.04B
2012-08,$3.03B
2012-09,$3.01B
2012-10,$3.21B
2012-11,$3.4B
2012-12,$3.63B
2013-01,$4.51B
2013-02,$4.69B
2013-03,$6.15B
2013-04,$6.27B
2013-05,$4.96B
2013-06,$4.59B
2013-07,$4.56B
2013-08,$4.42B
2013-09,$4.68B
2013-10,$4.61B
2013-11,$5.17B
2013-12,$5.76B
2014-01,$6.19B
2014-02,$6.6B
2014-03,$5.75B
2014-04,$5.44B
2014-05,$3.9B
2014-06,$4.08B
2014-07,$4.44B
2014-08,$4.95B
2014-09,$4.9B
2014-10,$4.51B
2014-11,$4.3B
2014-12,$4.1B
2015-01,$4.36B
2015-02,$4.57B
2015-03,$4.99B
2015-04,$4.73B
2015-05,$4.95B
2015-06,$4.73B
2015-07,$5.2B
2015-08,$4.54B
2015-09,$4.18B
2015-10,$4.71B
2015-11,$5.19B
2015-12,$5.01B
2016-01,$4.66B
2016-02,$4.49B
2016-03,$4.54B
2016-04,$4.99B
2016-05,$5.68B
2016-06,$6.19B
2016-07,$6.75B
2016-08,$6.07B
2016-09,$6.82B
2016-10,$6.38B
2016-11,$6.55B
2016-12,$7.04B
2017-01,$6.67B
2017-02,$6.95B
2017-03,$6.44B
2017-04,$6.41B
2017-05,$5.92B
2017-06,$5.37B
2017-07,$5.42B
2017-08,$5.24B
2017-09,$5.13B
2017-10,$5.67B
2017-11,$5.71B
2017-12,$5.87B
2018-01,$5.65B
2018-02,$5.76B
2018-03,$6.26B
2018-04,$6.99B
2018-05,$7.93B
2018-06,$8.22B
2018-07,$7.58B
2018-08,$8.29B
2018-09,$9.14B
2018-10,$8.28B
2018-11,$12.97B
2018-12,$12.25B
2019-01,$8.92B
2019-02,$9.63B
2019-03,$9.59B
2019-04,$8.59B
2019-05,$7.81B
2019-06,$7.16B
2019-07,$7.03B
2019-08,$6.5B
2019-09,$6.22B
2019-10,$6.67B
2019-11,$7.24B
2019-12,$7.46B
2020-01,$6.67B
2020-02,$5.54B
2020-04,$4.94B
2020-05,$5.34B
2020-06,$5.22B
2020-07,$4.61B
2020-08,$4.77B
2020-09,$4.83B
2020-10,$4.26B
2020-11,$4.73B
2020-12,$5.03B
2021-01,$5.59B
2021-02,$5.99B
2021-03,$6.8B
2021-04,$6.66B
2021-05,$7.08B
2021-06,$8.01B
2021-07,$7.53B
2021-08,$6.81B
2021-09,$7.52B
2021-10,$6.55B
2021-11,$5.22B
2021-12,$4.83B
