timeline,第一生命ホールディングス株式会社
2010-04,$14.15B
2010-05,$13.22B
2010-06,$10.81B
2010-08,$8.75B
2010-09,$8.89B
2010-10,$8.6B
2010-11,$10.6B
2010-12,$11.63B
2011-01,$11.36B
2011-02,$12.98B
2011-03,$10.91B
2011-04,$11.58B
2011-05,$10.68B
2011-06,$9.76B
2011-07,$9.48B
2011-08,$7.71B
2011-09,$7.06B
2011-10,$7.89B
2011-11,$7.23B
2011-12,$6.58B
2012-01,$6.96B
2012-02,$9.28B
2012-03,$9.94B
2012-04,$8.82B
2012-05,$6.85B
2012-06,$7.95B
2012-07,$7.25B
2012-08,$6.95B
2012-09,$7.72B
2012-10,$8.03B
2012-11,$8.15B
2012-12,$10.45B
2013-01,$11.43B
2013-02,$11.33B
2013-03,$11.03B
2013-04,$11.71B
2013-05,$12.28B
2013-06,$12.51B
2013-07,$11.68B
2013-08,$11.52B
2013-09,$12.24B
2013-10,$12.21B
2013-11,$14.03B
2013-12,$15.36B
2014-01,$13.63B
2014-02,$12.98B
2014-03,$13.12B
2014-04,$12.37B
2014-05,$13.19B
2014-06,$13.2B
2014-07,$12.89B
2014-08,$15.47B
2014-09,$17.09B
2014-10,$17.32B
2014-11,$18.07B
2014-12,$19.33B
2015-01,$16.74B
2015-02,$18.99B
2015-03,$18.33B
2015-04,$20.73B
2015-05,$22.93B
2015-06,$25.28B
2015-07,$26.49B
2015-08,$23.24B
2015-09,$19.78B
2015-10,$22.1B
2015-11,$22.26B
2015-12,$21.26B
2016-01,$17.07B
2016-02,$14.29B
2016-03,$14.24B
2016-04,$14.31B
2016-05,$15.27B
2016-06,$11.78B
2016-07,$14.17B
2016-08,$15.05B
2016-09,$14.21B
2016-10,$15.97B
2016-11,$19.0B
2016-12,$20.16B
2017-01,$21.36B
2017-02,$21.89B
2017-03,$20.68B
2017-04,$19.64B
2017-05,$19.11B
2017-06,$21.08B
2017-07,$19.87B
2017-08,$18.41B
2017-09,$21.0B
2017-10,$22.21B
2017-11,$23.76B
2017-12,$24.05B
2018-01,$23.58B
2018-02,$21.97B
2018-03,$20.02B
2018-04,$22.33B
2018-05,$20.93B
2018-06,$20.37B
2018-07,$21.67B
2018-08,$21.79B
2018-09,$24.34B
2018-10,$21.88B
2018-11,$20.21B
2018-12,$17.52B
2019-01,$17.87B
2019-02,$17.08B
2019-03,$15.59B
2019-04,$16.11B
2019-05,$15.93B
2019-06,$16.45B
2019-07,$16.24B
2019-08,$14.63B
2019-09,$16.34B
2019-10,$17.93B
2019-11,$17.71B
2019-12,$18.2B
2020-01,$16.56B
2020-02,$14.78B
2020-04,$13.16B
2020-05,$13.97B
2020-06,$12.77B
2020-07,$12.78B
2020-08,$14.52B
2020-09,$15.24B
2020-10,$15.56B
2020-11,$16.17B
2020-12,$15.82B
2021-01,$16.38B
2021-02,$18.33B
2021-03,$19.21B
2021-04,$19.74B
2021-05,$21.05B
2021-06,$21.35B
2021-07,$19.39B
2021-08,$21.66B
2021-09,$23.61B
2021-10,$23.17B
2021-11,$22.29B
2021-12,$22.38B
