timeline,飯田グループホールディングス株式会社
2014-01,$4.71B
2014-02,$3.99B
2014-03,$3.64B
2014-04,$3.87B
2014-05,$3.9B
2014-06,$3.91B
2014-07,$3.95B
2014-08,$3.79B
2014-09,$3.41B
2014-10,$3.13B
2014-11,$3.31B
2014-12,$3.76B
2015-02,$4.21B
2015-03,$3.81B
2015-04,$4.13B
2015-05,$5.17B
2015-06,$4.96B
2015-07,$5.54B
2015-08,$5.46B
2015-09,$4.74B
2015-10,$5.8B
2015-11,$6.09B
2015-12,$5.75B
2016-01,$5.4B
2016-02,$5.26B
2016-03,$5.58B
2016-04,$5.32B
2016-05,$5.91B
2016-06,$5.3B
2016-07,$5.22B
2016-08,$4.93B
2016-09,$5.15B
2016-10,$5.16B
2016-11,$5.64B
2017-01,$5.38B
2017-02,$4.83B
2017-03,$4.34B
2017-04,$4.51B
2017-05,$4.65B
2017-06,$4.76B
2017-07,$4.79B
2017-08,$4.75B
2017-09,$5.1B
2017-10,$5.51B
2017-11,$5.27B
2017-12,$5.41B
2018-01,$5.5B
2018-02,$5.15B
2018-03,$5.06B
2018-04,$5.45B
2018-05,$5.29B
2018-06,$5.44B
2018-07,$5.57B
2018-08,$5.22B
2018-09,$5.14B
2018-10,$5.22B
2018-11,$5.09B
2018-12,$4.84B
2019-01,$5.04B
2019-02,$5.17B
2019-03,$5.1B
2019-04,$4.78B
2019-05,$4.38B
2019-06,$4.43B
2019-07,$4.56B
2019-08,$4.21B
2019-09,$4.47B
2019-10,$4.61B
2019-11,$4.95B
2019-12,$4.88B
2020-01,$4.73B
2020-02,$3.79B
2020-03,$3.79B
2020-04,$3.66B
2020-05,$4.07B
2020-06,$4.2B
2020-07,$4.32B
2020-08,$5.29B
2020-09,$5.45B
2020-10,$4.93B
2020-11,$5.42B
2020-12,$5.35B
2021-01,$5.75B
2021-02,$6.2B
2021-03,$6.86B
2021-04,$6.89B
2021-05,$7.32B
2021-06,$7.49B
2021-07,$6.79B
2021-08,$6.83B
2021-09,$7.66B
2021-10,$7.2B
2021-11,$6.55B
2021-12,$6.44B
