timeline,株式会社セブン＆アイ・ホールディングス
2009-09,$21.71B
2009-10,$21.41B
2009-11,$19.88B
2010-01,$19.79B
2010-02,$19.56B
2010-03,$21.68B
2010-04,$23.13B
2010-05,$20.69B
2010-06,$20.49B
2010-07,$20.6B
2010-08,$22.09B
2010-09,$21.26B
2010-10,$20.87B
2010-11,$21.95B
2010-12,$23.58B
2011-02,$24.52B
2011-03,$22.31B
2011-04,$21.42B
2011-05,$23.32B
2011-06,$23.15B
2011-07,$25.45B
2011-08,$22.97B
2011-09,$25.62B
2011-10,$25.8B
2011-11,$23.41B
2011-12,$24.16B
2012-02,$24.74B
2012-04,$25.8B
2012-05,$26.37B
2012-06,$26.68B
2012-07,$28.2B
2012-08,$26.71B
2012-09,$27.28B
2012-10,$27.3B
2012-11,$25.83B
2012-12,$25.04B
2013-01,$26.99B
2013-02,$25.89B
2013-03,$29.23B
2013-04,$33.77B
2013-05,$30.63B
2013-06,$32.52B
2013-07,$33.34B
2013-08,$30.42B
2013-09,$32.33B
2013-10,$32.46B
2013-11,$32.54B
2013-12,$35.2B
2014-01,$35.26B
2014-02,$32.99B
2014-03,$33.86B
2014-04,$34.72B
2014-05,$35.33B
2014-06,$37.18B
2014-07,$37.19B
2014-08,$35.54B
2014-09,$34.36B
2014-10,$34.63B
2014-11,$33.19B
2014-12,$32.23B
2015-01,$32.4B
2015-02,$33.85B
2015-03,$37.22B
2015-04,$38.45B
2015-05,$36.81B
2015-06,$37.9B
2015-07,$40.78B
2015-08,$38.58B
2015-09,$40.14B
2015-10,$40.26B
2015-11,$39.73B
2015-12,$40.72B
2016-01,$39.49B
2016-02,$34.93B
2016-03,$37.7B
2016-04,$37.16B
2016-05,$37.84B
2016-06,$36.82B
2016-07,$36.3B
2016-08,$37.48B
2016-09,$41.55B
2016-10,$37.05B
2016-11,$34.85B
2016-12,$33.85B
2017-01,$35.07B
2017-02,$34.5B
2017-04,$37.44B
2017-05,$37.56B
2017-06,$36.53B
2017-07,$35.58B
2017-08,$34.94B
2017-09,$34.16B
2017-10,$35.78B
2017-11,$36.35B
2017-12,$36.68B
2018-01,$36.48B
2018-02,$36.72B
2018-03,$37.9B
2018-04,$38.97B
2018-05,$39.22B
2018-06,$38.66B
2018-07,$36.3B
2018-08,$36.06B
2018-09,$39.47B
2018-10,$38.28B
2018-11,$38.55B
2018-12,$38.34B
2019-01,$38.46B
2019-02,$39.04B
2019-03,$33.38B
2019-04,$30.56B
2019-05,$29.65B
2019-06,$29.94B
2019-07,$30.37B
2019-08,$31.21B
2019-09,$33.86B
2019-10,$33.33B
2019-11,$32.93B
2019-12,$32.52B
2020-01,$34.25B
2020-02,$29.81B
2020-03,$29.21B
2020-04,$29.42B
2020-05,$29.34B
2020-06,$30.37B
2020-07,$28.0B
2020-08,$28.32B
2020-09,$27.85B
2020-10,$28.04B
2020-11,$28.26B
2020-12,$30.43B
2021-01,$33.66B
2021-02,$34.46B
2021-03,$35.47B
2021-04,$36.93B
2021-05,$38.51B
2021-06,$40.48B
2021-07,$40.39B
2021-08,$38.9B
2021-09,$41.6B
2021-10,$37.84B
2021-11,$38.08B
2021-12,$37.48B
