timeline,日本新薬株式会社
2006-03,$0.61B
2006-04,$0.6B
2006-05,$0.59B
2006-07,$0.6B
2006-09,$0.58B
2006-11,$0.6B
2006-12,$0.61B
2007-01,$0.6B
2007-06,$0.68B
2007-07,$0.71B
2007-08,$0.61B
2007-09,$0.6B
2007-10,$0.67B
2007-11,$0.66B
2007-12,$0.62B
2008-01,$0.65B
2008-02,$0.63B
2008-03,$0.62B
2008-04,$0.73B
2008-05,$0.8B
2008-06,$0.81B
2008-07,$0.79B
2008-08,$0.81B
2008-09,$0.6B
2008-10,$0.58B
2008-11,$0.67B
2008-12,$0.64B
2009-01,$0.62B
2009-02,$0.56B
2009-03,$0.52B
2009-05,$0.66B
2009-07,$0.74B
2009-08,$0.72B
2009-09,$0.76B
2009-10,$0.75B
2009-11,$0.61B
2009-12,$0.62B
2010-01,$0.61B
2010-02,$0.6B
2010-03,$0.63B
2010-04,$0.64B
2010-05,$0.59B
2010-06,$0.6B
2010-07,$0.63B
2010-08,$0.64B
2010-09,$0.69B
2010-10,$0.68B
2010-11,$0.65B
2010-12,$0.69B
2011-02,$0.64B
2011-04,$0.62B
2011-05,$0.61B
2011-07,$0.65B
2011-08,$0.57B
2011-09,$0.59B
2011-10,$0.55B
2011-11,$0.52B
2011-12,$0.57B
2012-01,$0.53B
2012-02,$0.59B
2012-03,$0.61B
2012-04,$0.6B
2012-05,$0.52B
2012-06,$0.6B
2012-07,$0.57B
2012-08,$0.56B
2012-09,$0.59B
2012-10,$0.57B
2012-11,$0.6B
2012-12,$0.58B
2013-01,$0.68B
2013-02,$0.73B
2013-03,$0.8B
2013-04,$0.9B
2013-05,$0.96B
2013-06,$0.98B
2013-07,$0.99B
2013-08,$0.97B
2013-09,$1.01B
2013-11,$1.11B
2013-12,$1.22B
2014-01,$1.2B
2014-02,$1.16B
2014-04,$1.07B
2014-05,$1.18B
2014-06,$1.76B
2014-08,$1.97B
2014-10,$1.92B
2014-11,$2.05B
2014-12,$2.31B
2015-01,$2.32B
2015-02,$2.39B
2015-03,$2.6B
2015-04,$2.37B
2015-05,$2.26B
2015-06,$2.23B
2015-07,$2.46B
2015-08,$2.48B
2015-09,$2.56B
2015-10,$2.82B
2015-11,$3.02B
2015-12,$2.66B
2016-01,$2.48B
2016-02,$2.3B
2016-03,$2.61B
2016-04,$2.97B
2016-05,$3.49B
2016-06,$3.18B
2016-07,$3.36B
2016-08,$2.85B
2016-09,$3.24B
2016-10,$3.17B
2016-11,$3.16B
2016-12,$3.42B
2017-01,$3.47B
2017-02,$3.6B
2017-03,$3.37B
2017-04,$3.52B
2017-05,$3.84B
2017-06,$4.27B
2017-07,$4.14B
2017-08,$4.55B
2017-09,$4.64B
2017-10,$4.76B
2017-11,$4.78B
2017-12,$5.0B
2018-01,$4.46B
2018-02,$3.58B
2018-03,$4.23B
2018-04,$4.85B
2018-05,$4.64B
2018-06,$4.09B
2018-07,$3.77B
2018-08,$3.88B
2018-09,$4.43B
2018-10,$3.87B
2018-11,$4.61B
2018-12,$4.15B
2019-01,$4.1B
2019-02,$4.2B
2019-03,$4.79B
2019-04,$4.55B
2019-05,$4.47B
2019-06,$4.52B
2019-07,$4.69B
2019-08,$5.19B
2019-09,$5.4B
2019-10,$5.82B
2019-11,$5.87B
2019-12,$5.63B
2020-01,$5.81B
2020-02,$4.79B
2020-03,$5.04B
2020-04,$4.61B
2020-05,$5.51B
2020-06,$5.21B
2020-07,$4.75B
2020-08,$5.21B
2020-09,$5.17B
2020-10,$4.66B
2020-11,$4.56B
2020-12,$4.21B
2021-01,$4.5B
2021-02,$4.56B
2021-03,$4.59B
2021-04,$4.62B
2021-05,$4.5B
2021-06,$5.0B
2021-07,$5.07B
2021-08,$5.24B
2021-09,$5.83B
2021-10,$5.38B
2021-11,$5.28B
2021-12,$4.9B
